                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7795,                 4.7618,                 1.0373,                0.00523,                0.63636,                0.00681,                 0.0037,                 1.6311,                 3.7807,                  1.058,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.4042,                 4.6553,                 1.0004,                0.00604,                0.72727,                0.00882,                0.00393,                 1.6249,                 3.7931,                 1.0668,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 1.4605,                 3.8802,                0.95985,                0.00528,                0.63636,                0.01388,                 0.0062,                 1.6024,                 3.7631,                 1.0666,             0.00015366,             0.00015366,             0.00015366
                      4,                 1.2518,                 2.5014,                0.89754,                 0.0058,                0.72727,                0.02647,                0.01209,                 1.4925,                 3.6409,                 1.0115,             0.00020693,             0.00020693,             0.00020693
                      5,                 1.4239,                 2.0432,                0.94511,                0.00785,                      1,                0.02861,                0.01413,                 1.2957,                  3.574,                0.98094,             0.00025782,             0.00025782,             0.00025782
                      6,                  1.364,                 1.9898,                0.95814,                0.00651,                0.81818,                0.02351,                0.01173,                 1.2275,                 3.6011,                0.98944,             0.00030634,             0.00030634,             0.00030634
                      7,                 1.2109,                 1.6225,                0.91572,                0.00787,                      1,                0.02369,                0.01208,                 1.3043,                 3.5712,                0.97194,             0.00035248,             0.00035248,             0.00035248
                      8,                 1.2521,                 1.8574,                0.98735,                0.00759,                      1,                0.02386,                0.01255,                  1.362,                  3.525,                0.97301,             0.00039624,             0.00039624,             0.00039624
                      9,                 1.1647,                 1.4696,                0.93282,                 0.0067,                      1,                0.01771,                0.00905,                 1.3625,                  3.512,                0.97687,             0.00043763,             0.00043763,             0.00043763
                     10,                 1.2573,                 1.5324,                 0.8889,                0.00621,                      1,                0.01823,                0.00901,                  1.349,                 3.4949,                0.97563,             0.00047664,             0.00047664,             0.00047664
                     11,                 1.1256,                 1.4235,                0.92049,                0.00549,                      1,                0.01754,                0.00882,                 1.3509,                 3.4903,                0.96844,             0.00051328,             0.00051328,             0.00051328
                     12,                 1.1271,                 1.4469,                0.89534,                0.00511,                      1,                0.01433,                 0.0079,                 1.3315,                 3.4656,                0.96678,             0.00054754,             0.00054754,             0.00054754
                     13,                 1.2451,                 1.4631,                0.89163,                0.00493,                      1,                0.01463,                0.00729,                 1.3846,                 3.4201,                0.98923,             0.00057942,             0.00057942,             0.00057942
                     14,                 1.1382,                 1.3195,                0.93324,                0.00481,                      1,                0.01542,                 0.0077,                 1.2879,                 3.4395,                0.95775,             0.00060893,             0.00060893,             0.00060893
                     15,                 1.1295,                 1.3407,                0.91624,                0.00434,                      1,                0.01293,                0.00763,                  1.205,                  3.334,                0.95043,             0.00063606,             0.00063606,             0.00063606
                     16,                  1.093,                 1.3073,                0.87436,                0.00446,                      1,                0.01692,                0.00912,                 1.2261,                 3.3091,                0.95416,             0.00066082,             0.00066082,             0.00066082
                     17,                 1.0672,                 1.1964,                0.89005,                0.00484,                      1,                0.02234,                0.01147,                 1.3523,                  3.275,                0.97936,              0.0006832,              0.0006832,              0.0006832
                     18,                 1.0668,                 1.2449,                 0.8923,                 0.0049,                      1,                0.11695,                0.09756,                 1.3292,                 3.1806,                0.96716,              0.0007032,              0.0007032,              0.0007032
                     19,                 1.1357,                 1.1309,                0.90954,                 0.0048,                      1,                  0.292,                 0.2006,                 1.3996,                 3.0923,                0.99526,             0.00072083,             0.00072083,             0.00072083
                     20,                 1.2282,                 1.2704,                0.96779,                0.00476,                      1,                0.37938,                0.25474,                 1.3857,                 3.0366,                 1.0096,             0.00073608,             0.00073608,             0.00073608
                     21,                 1.1764,                 1.2494,                0.89871,                0.00463,                      1,                0.29173,                0.20446,                 1.3909,                 3.0243,                 0.9982,             0.00074896,             0.00074896,             0.00074896
                     22,                 1.1119,                 1.1615,                0.87977,                0.00439,                      1,                0.55463,                 0.3867,                 1.4374,                 2.8887,                 1.0325,             0.00075946,             0.00075946,             0.00075946
