                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77389,                 2.3231,                0.88895,                0.00308,                0.97333,                0.96104,                0.80401,                0.54793,                 3.0882,                 0.8884,                0.00034,                0.00034,                0.00034
                      2,                0.50998,                   1.08,                0.84688,                0.00308,                0.97333,                0.94199,                0.86377,                0.44472,                 2.9927,                0.90172,             0.00066535,             0.00066535,             0.00066535
                      3,                0.56096,                0.97177,                0.86947,                0.00308,                0.97333,                0.78151,                0.69517,                0.44255,                 2.7186,                0.88991,             0.00095506,             0.00095506,             0.00095506
                      4,                0.53353,                0.93296,                0.87265,                0.98612,                0.94735,                0.97288,                 0.8969,                0.46062,                  1.962,                 0.8925,              0.0012091,              0.0012091,              0.0012091
                      5,                0.50651,                0.84292,                0.83906,                0.98646,                 0.9716,                0.96884,                0.86857,                0.46603,                 1.1152,                 0.9324,              0.0014276,              0.0014276,              0.0014276
                      6,                 0.4937,                0.78718,                0.85736,                0.98446,                0.97333,                0.97301,                0.92515,                0.41067,                0.97886,                0.87926,               0.001505,               0.001505,               0.001505
                      7,                0.45611,                0.73399,                0.83521,                0.97218,                0.97333,                0.96566,                0.88281,                0.43631,                0.65985,                0.88828,               0.001406,               0.001406,               0.001406
                      8,                0.43674,                0.67138,                0.82895,                0.97228,                0.97333,                0.97177,                0.89953,                0.41315,                0.64271,                 0.8809,               0.001307,               0.001307,               0.001307
                      9,                0.40193,                0.61164,                0.82818,                0.97278,                0.97333,                 0.9745,                0.92181,                0.39806,                0.65539,                0.89524,               0.001208,               0.001208,               0.001208
                     10,                0.39923,                0.56842,                0.81502,                0.98227,                0.97333,                0.97507,                0.93018,                0.35204,                 0.5595,                0.88297,               0.001109,               0.001109,               0.001109
                     11,                0.33835,                 0.6874,                0.80541,                0.98534,                0.97333,                0.97481,                0.92643,                0.35108,                0.59737,                0.87942,                0.00101,                0.00101,                0.00101
                     12,                0.33455,                0.62133,                0.80044,                0.97242,                0.97333,                0.97283,                0.93556,                0.32801,                0.52029,                0.88158,               0.000911,               0.000911,               0.000911
                     13,                0.32959,                 0.5858,                0.82326,                0.97205,                0.97333,                0.97194,                0.94596,                0.32961,                0.45553,                0.87501,               0.000812,               0.000812,               0.000812
                     14,                0.32822,                0.54469,                0.78878,                0.97252,                0.97333,                0.97206,                0.93897,                0.36471,                0.45229,                0.87653,               0.000713,               0.000713,               0.000713
                     15,                0.30346,                0.52431,                0.80601,                0.97289,                0.97333,                0.97208,                0.94295,                0.36276,                0.43322,                0.87664,               0.000614,               0.000614,               0.000614
                     16,                0.30594,                 0.4925,                0.79423,                0.97254,                0.97333,                0.97287,                0.95752,                0.27367,                0.40809,                0.89304,               0.000515,               0.000515,               0.000515
                     17,                 0.2574,                0.46856,                0.80246,                0.98546,                0.97333,                0.97358,                0.95892,                0.27045,                0.39186,                0.88477,               0.000416,               0.000416,               0.000416
                     18,                0.27371,                0.45616,                0.79714,                0.97332,                0.97333,                0.96833,                0.94262,                0.30325,                0.39757,                 0.8691,               0.000317,               0.000317,               0.000317
                     19,                0.26019,                 0.4275,                0.78385,                 0.9733,                0.97333,                0.97027,                 0.9524,                 0.2401,                0.37387,                0.86641,               0.000218,               0.000218,               0.000218
                     20,                0.22913,                0.41026,                0.79207,                0.97463,                0.97333,                0.96895,                0.95444,                0.22964,                 0.3618,                 0.8655,               0.000119,               0.000119,               0.000119
